slot_id,appointment_date,appointment_time,is_available
1,2015-01-01,08:00:00,0
2,2015-01-01,08:15:00,0
3,2015-01-01,08:30:00,0
4,2015-01-01,08:45:00,0
5,2015-01-01,09:00:00,0
6,2015-01-01,09:15:00,0
7,2015-01-01,09:30:00,0
8,2015-01-01,09:45:00,0
9,2015-01-01,10:00:00,0
10,2015-01-01,10:15:00,0
11,2015-01-01,10:30:00,0
12,2015-01-01,10:45:00,0
13,2015-01-01,11:00:00,0
14,2015-01-01,11:15:00,0
15,2015-01-01,11:30:00,0
16,2015-01-01,11:45:00,1
17,2015-01-01,12:00:00,0
18,2015-01-01,12:15:00,0
19,2015-01-01,12:30:00,0
20,2015-01-01,12:45:00,0
21,2015-01-01,13:00:00,0
22,2015-01-01,13:15:00,0
23,2015-01-01,13:30:00,0
24,2015-01-01,13:45:00,0
25,2015-01-01,14:00:00,0
26,2015-01-01,14:15:00,1
27,2015-01-01,14:30:00,0
28,2015-01-01,14:45:00,0
29,2015-01-01,15:00:00,0
30,2015-01-01,15:15:00,0
31,2015-01-01,15:30:00,0
32,2015-01-01,15:45:00,0
33,2015-01-01,16:00:00,0
34,2015-01-01,16:15:00,0
35,2015-01-01,16:30:00,0
36,2015-01-01,16:45:00,0
37,2015-01-01,17:00:00,0
38,2015-01-01,17:15:00,0
39,2015-01-01,17:30:00,0
40,2015-01-01,17:45:00,0
41,2015-01-02,08:00:00,0
42,2015-01-02,08:15:00,0
43,2015-01-02,08:30:00,0
44,2015-01-02,08:45:00,0
45,2015-01-02,09:00:00,0
46,2015-01-02,09:15:00,0
47,2015-01-02,09:30:00,0
48,2015-01-02,09:45:00,0
49,2015-01-02,10:00:00,1
50,2015-01-02,10:15:00,0
51,2015-01-02,10:30:00,0
52,2015-01-02,10:45:00,0
53,2015-01-02,11:00:00,0
54,2015-01-02,11:15:00,0
55,2015-01-02,11:30:00,1
56,2015-01-02,11:45:00,0
57,2015-01-02,12:00:00,0
58,2015-01-02,12:15:00,1
59,2015-01-02,12:30:00,0
60,2015-01-02,12:45:00,0
61,2015-01-02,13:00:00,0
62,2015-01-02,13:15:00,0
63,2015-01-02,13:30:00,0
64,2015-01-02,13:45:00,0
65,2015-01-02,14:00:00,0
66,2015-01-02,14:15:00,0
67,2015-01-02,14:30:00,0
68,2015-01-02,14:45:00,0
69,2015-01-02,15:00:00,0
70,2015-01-02,15:15:00,0
71,2015-01-02,15:30:00,0
72,2015-01-02,15:45:00,0
73,2015-01-02,16:00:00,0
74,2015-01-02,16:15:00,0
75,2015-01-02,16:30:00,1
76,2015-01-02,16:45:00,0
77,2015-01-02,17:00:00,0
78,2015-01-02,17:15:00,0
79,2015-01-02,17:30:00,0
80,2015-01-02,17:45:00,0
81,2015-01-05,08:00:00,0
82,2015-01-05,08:15:00,0
83,2015-01-05,08:30:00,0
84,2015-01-05,08:45:00,0
85,2015-01-05,09:00:00,0
86,2015-01-05,09:15:00,0
87,2015-01-05,09:30:00,0
88,2015-01-05,09:45:00,0
89,2015-01-05,10:00:00,0
90,2015-01-05,10:15:00,0
91,2015-01-05,10:30:00,0
92,2015-01-05,10:45:00,1
93,2015-01-05,11:00:00,0
94,2015-01-05,11:15:00,0
