slot_id,appointment_date,appointment_time,is_available
1,2015-01-01,08:00:00,False
2,2015-01-01,08:15:00,False
3,2015-01-01,08:30:00,False
4,2015-01-01,08:45:00,False
5,2015-01-01,09:00:00,False
6,2015-01-01,09:15:00,False
7,2015-01-01,09:30:00,False
8,2015-01-01,09:45:00,False
9,2015-01-01,10:00:00,False
10,2015-01-01,10:15:00,False
11,2015-01-01,10:30:00,False
12,2015-01-01,10:45:00,False
13,2015-01-01,11:00:00,False
14,2015-01-01,11:15:00,False
15,2015-01-01,11:30:00,False
16,2015-01-01,11:45:00,True
17,2015-01-01,12:00:00,False
18,2015-01-01,12:15:00,False
19,2015-01-01,12:30:00,False
20,2015-01-01,12:45:00,False
21,2015-01-01,13:00:00,False
22,2015-01-01,13:15:00,False
23,2015-01-01,13:30:00,False
24,2015-01-01,13:45:00,False
25,2015-01-01,14:00:00,False
26,2015-01-01,14:15:00,True
27,2015-01-01,14:30:00,False
28,2015-01-01,14:45:00,False
29,2015-01-01,15:00:00,False
30,2015-01-01,15:15:00,False
31,2015-01-01,15:30:00,False
32,2015-01-01,15:45:00,False
33,2015-01-01,16:00:00,False
34,2015-01-01,16:15:00,False
35,2015-01-01,16:30:00,False
36,2015-01-01,16:45:00,False
37,2015-01-01,17:00:00,False
38,2015-01-01,17:15:00,False
39,2015-01-01,17:30:00,False
40,2015-01-01,17:45:00,False
41,2015-01-02,08:00:00,False
42,2015-01-02,08:15:00,False
43,2015-01-02,08:30:00,False
44,2015-01-02,08:45:00,False
45,2015-01-02,09:00:00,False
46,2015-01-02,09:15:00,False
47,2015-01-02,09:30:00,False
48,2015-01-02,09:45:00,False
49,2015-01-02,10:00:00,True
50,2015-01-02,10:15:00,False
51,2015-01-02,10:30:00,False
52,2015-01-02,10:45:00,False
53,2015-01-02,11:00:00,False
54,2015-01-02,11:15:00,False
55,2015-01-02,11:30:00,True
56,2015-01-02,11:45:00,False
57,2015-01-02,12:00:00,False
58,2015-01-02,12:15:00,True
59,2015-01-02,12:30:00,False
60,2015-01-02,12:45:00,False
61,2015-01-02,13:00:00,False
62,2015-01-02,13:15:00,False
63,2015-01-02,13:30:00,False
64,2015-01-02,13:45:00,False
65,2015-01-02,14:00:00,False
66,2015-01-02,14:15:00,False
67,2015-01-02,14:30:00,False
68,2015-01-02,14:45:00,False
69,2015-01-02,15:00:00,False
70,2015-01-02,15:15:00,False
71,2015-01-02,15:30:00,False
72,2015-01-02,15:45:00,False
73,2015-01-02,16:00:00,False
74,2015-01-02,16:15:00,False
75,2015-01-02,16:30:00,True
76,2015-01-02,16:45:00,False
77,2015-01-02,17:00:00,False
78,2015-01-02,17:15:00,False
79,2015-01-02,17:30:00,False
80,2015-01-02,17:45:00,False
81,2015-01-05,08:00:00,False
82,2015-01-05,08:15:00,False
83,2015-01-05,08:30:00,False
84,2015-01-05,08:45:00,False
85,2015-01-05,09:00:00,False
86,2015-01-05,09:15:00,False
87,2015-01-05,09:30:00,False
88,2015-01-05,09:45:00,False
89,2015-01-05,10:00:00,False
90,2015-01-05,10:15:00,False
91,2015-01-05,10:30:00,False
92,2015-01-05,10:45:00,True
93,2015-01-05,11:00:00,False
94,2015-01-05,11:15:00,False
95,2015-01-05,11:30:00,False
96,2015-01-05,11:45:00,False
97,2015-01-05,12:00:00,False
98,2015-01-05,12:15:00,False
99,2015-01-05,12:30:00,False
100,2015-01-05,12:45:00,False
101,2015-01-05,13:00:00,False
102,2015-01-05,13:15:00,False
103,2015-01-05,13:30:00,False
104,2015-01-05,13:45:00,False
105,2015-01-05,14:00:00,False
106,2015-01-05,14:15:00,False
107,2015-01-05,14:30:00,True
108,2015-01-05,14:45:00,False
109,2015-01-05,15:00:00,False
110,2015-01-05,15:15:00,False
111,2015-01-05,15:30:00,False
112,2015-01-05,15:45:00,False
113,2015-01-05,16:00:00,False
114,2015-01-05,16:15:00,False
115,2015-01-05,16:30:00,False
116,2015-01-05,16:45:00,False
117,2015-01-05,17:00:00,False
118,2015-01-05,17:15:00,True
119,2015-01-05,17:30:00,False
120,2015-01-05,17:45:00,False
121,2015-01-06,08:00:00,True
122,2015-01-06,08:15:00,False
123,2015-01-06,08:30:00,False
124,2015-01-06,08:45:00,True
125,2015-01-06,09:00:00,False
126,2015-01-06,09:15:00,False
127,2015-01-06,09:30:00,False
128,2015-01-06,09:45:00,False
129,2015-01-06,10:00:00,True
130,2015-01-06,10:15:00,False
131,2015-01-06,10:30:00,False
132,2015-01-06,10:45:00,True
133,2015-01-06,11:00:00,False
134,2015-01-06,11:15:00,False
135,2015-01-06,11:30:00,False
136,2015-01-06,11:45:00,False
137,2015-01-06,12:00:00,False
138,2015-01-06,12:15:00,False
139,2015-01-06,12:30:00,False
140,2015-01-06,12:45:00,False
141,2015-01-06,13:00:00,False
142,2015-01-06,13:15:00,False
143,2015-01-06,13:30:00,False
144,2015-01-06,13:45:00,True
145,2015-01-06,14:00:00,False
146,2015-01-06,14:15:00,False
147,2015-01-06,14:30:00,False
148,2015-01-06,14:45:00,False
149,2015-01-06,15:00:00,False
150,2015-01-06,15:15:00,False
151,2015-01-06,15:30:00,False
152,2015-01-06,15:45:00,False
153,2015-01-06,16:00:00,False
154,2015-01-06,16:15:00,False
155,2015-01-06,16:30:00,False
156,2015-01-06,16:45:00,False
157,2015-01-06,17:00:00,False
158,2015-01-06,17:15:00,False
159,2015-01-06,17:30:00,False
160,2015-01-06,17:45:00,True
161,2015-01-07,08:00:00,False
162,2015-01-07,08:15:00,True
163,2015-01-07,08:30:00,False
164,2015-01-07,08:45:00,False
165,2015-01-07,09:00:00,False
166,2015-01-07,09:15:00,False
167,2015-01-07,09:30:00,False
168,2015-01-07,09:45:00,False
169,2015-01-07,10:00:00,True
170,2015-01-07,10:15:00,False
171,2015-01-07,10:30:00,False
172,2015-01-07,10:45:00,False
173,2015-01-07,11:00:00,False
174,2015-01-07,11:15:00,False
175,2015-01-07,11:30:00,False
176,2015-01-07,11:45:00,False
177,2015-01-07,12:00:00,False
178,2015-01-07,12:15:00,False
179,2015-01-07,12:30:00,False
180,2015-01-07,12:45:00,False
181,2015-01-07,13:00:00,False
182,2015-01-07,13:15:00,False
183,2015-01-07,13:30:00,False
184,2015-01-07,13:45:00,False
185,2015-01-07,14:00:00,False
186,2015-01-07,14:15:00,False
187,2015-01-07,14:30:00,False
188,2015-01-07,14:45:00,False
189,2015-01-07,15:00:00,False
190,2015-01-07,15:15:00,False
191,2015-01-07,15:30:00,False
192,2015-01-07,15:45:00,False
193,2015-01-07,16:00:00,False
194,2015-01-07,16:15:00,False
195,2015-01-07,16:30:00,False
196,2015-01-07,16:45:00,False
197,2015-01-07,17:00:00,False
198,2015-01-07,17:15:00,False
199,2015-01-07,17:30:00,False
200,2015-01-07,17:45:00,False
201,2015-01-08,08:00:00,False
202,2015-01-08,08:15:00,False
203,2015-01-08,08:30:00,False
204,2015-01-08,08:45:00,False
205,2015-01-08,09:00:00,False
206,2015-01-08,09:15:00,False
207,2015-01-08,09:30:00,False
208,2015-01-08,09:45:00,False
209,2015-01-08,10:00:00,False
210,2015-01-08,10:15:00,True
211,2015-01-08,10:30:00,False
212,2015-01-08,10:45:00,False
213,2015-01-08,11:00:00,False
214,2015-01-08,11:15:00,False
215,2015-01-08,11:30:00,False
216,2015-01-08,11:45:00,False
217,2015-01-08,12:00:00,True
218,2015-01-08,12:15:00,False
219,2015-01-08,12:30:00,False
220,2015-01-08,12:45:00,False
221,2015-01-08,13:00:00,False
222,2015-01-08,13:15:00,False
223,2015-01-08,13:30:00,False
224,2015-01-08,13:45:00,False
225,2015-01-08,14:00:00,False
226,2015-01-08,14:15:00,False
227,2015-01-08,14:30:00,True
228,2015-01-08,14:45:00,False
229,2015-01-08,15:00:00,False
230,2015-01-08,15:15:00,False
231,2015-01-08,15:30:00,False
232,2015-01-08,15:45:00,False
233,2015-01-08,16:00:00,False
234,2015-01-08,16:15:00,False
235,2015-01-08,16:30:00,True
236,2015-01-08,16:45:00,False
237,2015-01-08,17:00:00,False
238,2015-01-08,17:15:00,False
239,2015-01-08,17:30:00,False
240,2015-01-08,17:45:00,False
241,2015-01-09,08:00:00,False
242,2015-01-09,08:15:00,False
243,2015-01-09,08:30:00,False
244,2015-01-09,08:45:00,False
245,2015-01-09,09:00:00,False
246,2015-01-09,09:15:00,False
247,2015-01-09,09:30:00,False
248,2015-01-09,09:45:00,False
249,2015-01-09,10:00:00,False
250,2015-01-09,10:15:00,True
251,2015-01-09,10:30:00,False
252,2015-01-09,10:45:00,False
253,2015-01-09,11:00:00,False
254,2015-01-09,11:15:00,False
255,2015-01-09,11:30:00,False
256,2015-01-09,11:45:00,False
257,2015-01-09,12:00:00,True
258,2015-01-09,12:15:00,False
259,2015-01-09,12:30:00,False
260,2015-01-09,12:45:00,False
261,2015-01-09,13:00:00,False
262,2015-01-09,13:15:00,False
263,2015-01-09,13:30:00,False
264,2015-01-09,13:45:00,False
265,2015-01-09,14:00:00,False
266,2015-01-09,14:15:00,False
267,2015-01-09,14:30:00,False
268,2015-01-09,14:45:00,False
269,2015-01-09,15:00:00,False
270,2015-01-09,15:15:00,False
271,2015-01-09,15:30:00,False
272,2015-01-09,15:45:00,False
273,2015-01-09,16:00:00,False
274,2015-01-09,16:15:00,False
275,2015-01-09,16:30:00,False
276,2015-01-09,16:45:00,False
277,2015-01-09,17:00:00,False
278,2015-01-09,17:15:00,False
279,2015-01-09,17:30:00,False
280,2015-01-09,17:45:00,False
281,2015-01-12,08:00:00,False
282,2015-01-12,08:15:00,False
283,2015-01-12,08:30:00,False
284,2015-01-12,08:45:00,False
285,2015-01-12,09:00:00,False
286,2015-01-12,09:15:00,False
287,2015-01-12,09:30:00,False
288,2015-01-12,09:45:00,False
289,2015-01-12,10:00:00,False
290,2015-01-12,10:15:00,False
291,2015-01-12,10:30:00,False
292,2015-01-12,10:45:00,False
293,2015-01-12,11:00:00,False
294,2015-01-12,11:15:00,False
295,2015-01-12,11:30:00,False
296,2015-01-12,11:45:00,False
297,2015-01-12,12:00:00,False
298,2015-01-12,12:15:00,False
299,2015-01-12,12:30:00,False
300,2015-01-12,12:45:00,False
301,2015-01-12,13:00:00,False
302,2015-01-12,13:15:00,False
303,2015-01-12,13:30:00,False
304,2015-01-12,13:45:00,False
305,2015-01-12,14:00:00,False
306,2015-01-12,14:15:00,True
307,2015-01-12,14:30:00,True
308,2015-01-12,14:45:00,False
309,2015-01-12,15:00:00,False
310,2015-01-12,15:15:00,False
311,2015-01-12,15:30:00,False
312,2015-01-12,15:45:00,True
313,2015-01-12,16:00:00,False
314,2015-01-12,16:15:00,False
315,2015-01-12,16:30:00,False
316,2015-01-12,16:45:00,True
317,2015-01-12,17:00:00,False
318,2015-01-12,17:15:00,False
319,2015-01-12,17:30:00,False
320,2015-01-12,17:45:00,False
321,2015-01-13,08:00:00,False
322,2015-01-13,08:15:00,False
323,2015-01-13,08:30:00,True
324,2015-01-13,08:45:00,False
325,2015-01-13,09:00:00,True
326,2015-01-13,09:15:00,False
327,2015-01-13,09:30:00,False
328,2015-01-13,09:45:00,False
329,2015-01-13,10:00:00,False
330,2015-01-13,10:15:00,False
331,2015-01-13,10:30:00,False
332,2015-01-13,10:45:00,False
333,2015-01-13,11:00:00,True
334,2015-01-13,11:15:00,False
335,2015-01-13,11:30:00,False
336,2015-01-13,11:45:00,False
337,2015-01-13,12:00:00,False
338,2015-01-13,12:15:00,False
339,2015-01-13,12:30:00,False
340,2015-01-13,12:45:00,False
341,2015-01-13,13:00:00,False
342,2015-01-13,13:15:00,False
343,2015-01-13,13:30:00,False
344,2015-01-13,13:45:00,False
345,2015-01-13,14:00:00,False
346,2015-01-13,14:15:00,False
347,2015-01-13,14:30:00,False
348,2015-01-13,14:45:00,False
349,2015-01-13,15:00:00,False
350,2015-01-13,15:15:00,False
351,2015-01-13,15:30:00,False
352,2015-01-13,15:45:00,False
353,2015-01-13,16:00:00,False
354,2015-01-13,16:15:00,True
355,2015-01-13,16:30:00,False
356,2015-01-13,16:45:00,False
357,2015-01-13,17:00:00,False
358,2015-01-13,17:15:00,False
359,2015-01-13,17:30:00,False
360,2015-01-13,17:45:00,False
361,2015-01-14,08:00:00,True
362,2015-01-14,08:15:00,False
363,2015-01-14,08:30:00,False
364,2015-01-14,08:45:00,False
365,2015-01-14,09:00:00,False
366,2015-01-14,09:15:00,False
367,2015-01-14,09:30:00,True
368,2015-01-14,09:45:00,False
369,2015-01-14,10:00:00,True
370,2015-01-14,10:15:00,False
371,2015-01-14,10:30:00,False
372,2015-01-14,10:45:00,False
373,2015-01-14,11:00:00,False
374,2015-01-14,11:15:00,False
375,2015-01-14,11:30:00,True
376,2015-01-14,11:45:00,False
377,2015-01-14,12:00:00,False
378,2015-01-14,12:15:00,False
379,2015-01-14,12:30:00,False
380,2015-01-14,12:45:00,False
381,2015-01-14,13:00:00,False
382,2015-01-14,13:15:00,False
383,2015-01-14,13:30:00,False
384,2015-01-14,13:45:00,False
385,2015-01-14,14:00:00,False
386,2015-01-14,14:15:00,False
387,2015-01-14,14:30:00,False
388,2015-01-14,14:45:00,False
389,2015-01-14,15:00:00,False
390,2015-01-14,15:15:00,False
391,2015-01-14,15:30:00,False
392,2015-01-14,15:45:00,False
393,2015-01-14,16:00:00,False
394,2015-01-14,16:15:00,False
395,2015-01-14,16:30:00,False
396,2015-01-14,16:45:00,False
397,2015-01-14,17:00:00,True
398,2015-01-14,17:15:00,False
399,2015-01-14,17:30:00,False
400,2015-01-14,17:45:00,False
401,2015-01-15,08:00:00,False
402,2015-01-15,08:15:00,False
403,2015-01-15,08:30:00,False
404,2015-01-15,08:45:00,False
405,2015-01-15,09:00:00,False
406,2015-01-15,09:15:00,False
407,2015-01-15,09:30:00,False
408,2015-01-15,09:45:00,False
409,2015-01-15,10:00:00,False
410,2015-01-15,10:15:00,False
411,2015-01-15,10:30:00,False
412,2015-01-15,10:45:00,False
413,2015-01-15,11:00:00,False
414,2015-01-15,11:15:00,False
415,2015-01-15,11:30:00,False
416,2015-01-15,11:45:00,False
417,2015-01-15,12:00:00,False
418,2015-01-15,12:15:00,False
419,2015-01-15,12:30:00,True
420,2015-01-15,12:45:00,False
421,2015-01-15,13:00:00,False
422,2015-01-15,13:15:00,False
423,2015-01-15,13:30:00,False
424,2015-01-15,13:45:00,False
425,2015-01-15,14:00:00,False
426,2015-01-15,14:15:00,False
427,2015-01-15,14:30:00,True
428,2015-01-15,14:45:00,False
429,2015-01-15,15:00:00,False
430,2015-01-15,15:15:00,True
431,2015-01-15,15:30:00,False
432,2015-01-15,15:45:00,True
433,2015-01-15,16:00:00,False
434,2015-01-15,16:15:00,False
435,2015-01-15,16:30:00,False
436,2015-01-15,16:45:00,False
437,2015-01-15,17:00:00,True
438,2015-01-15,17:15:00,False
439,2015-01-15,17:30:00,False
440,2015-01-15,17:45:00,True
